synth_image_id,source_img_name,generator,size_bin,location_zone,contrast_bin,anatomy_overlap,gt_x,gt_y,gt_width,gt_height,generation_seed,qc_pass,grid_repeat_type,radedit_prompt
synth_0164,c1075.mha,radedit,small,upper_right,low,spine,506,247,18,18,4200164,,high_risk_repeat,"single small pulmonary nodule, low contrast, upper right lung zone, overlap spine"
synth_0165,c1277.mha,radedit,small,upper_right,medium,clavicle,687,215,18,18,4200165,,high_risk_repeat,"single small pulmonary nodule, medium contrast, upper right lung zone, overlap clavicle"
synth_0166,c1295.mha,radedit,small,mid_left,low,spine,510,503,18,18,4200166,,high_risk_repeat,"single small pulmonary nodule, low contrast, mid left lung zone, overlap spine"
synth_0167,c1438.mha,radedit,small,mid_left,medium,heart,256,519,18,18,4200167,,high_risk_repeat,"single small pulmonary nodule, medium contrast, mid left lung zone, overlap heart"
synth_0168,c1480.mha,radedit,small,mid_right,low,heart,749,523,18,18,4200168,,high_risk_repeat,"single small pulmonary nodule, low contrast, mid right lung zone, overlap heart"
synth_0169,c1514.mha,radedit,small,mid_right,medium,heart,749,521,18,18,4200169,,high_risk_repeat,"single small pulmonary nodule, medium contrast, mid right lung zone, overlap heart"
synth_0170,c1584.mha,radedit,small,lower_left,low,diaphragm,333,791,18,18,4200170,,high_risk_repeat,"single small pulmonary nodule, low contrast, lower left lung zone, overlap diaphragm"
synth_0171,c1650.mha,radedit,small,lower_left,medium,heart,292,768,18,18,4200171,,high_risk_repeat,"single small pulmonary nodule, medium contrast, lower left lung zone, overlap heart"
synth_0172,c1669.mha,radedit,small,lower_right,low,heart,716,770,18,18,4200172,,high_risk_repeat,"single small pulmonary nodule, low contrast, lower right lung zone, overlap heart"
synth_0173,c1691.mha,radedit,small,lower_right,medium,heart,713,775,18,18,4200173,,high_risk_repeat,"single small pulmonary nodule, medium contrast, lower right lung zone, overlap heart"
synth_0174,c1709.mha,radedit,small,upper_left,low,clavicle,325,215,18,18,4200174,,high_risk_repeat,"single small pulmonary nodule, low contrast, upper left lung zone, overlap clavicle"
synth_0175,c1805.mha,radedit,small,upper_left,medium,spine,483,250,18,18,4200175,,high_risk_repeat,"single small pulmonary nodule, medium contrast, upper left lung zone, overlap spine"
synth_0176,c2366.mha,radedit,small,upper_right,low,clavicle,688,212,18,18,4200176,,high_risk_repeat,"single small pulmonary nodule, low contrast, upper right lung zone, overlap clavicle"
synth_0177,c2373.mha,radedit,small,upper_right,medium,clavicle,688,217,18,18,4200177,,high_risk_repeat,"single small pulmonary nodule, medium contrast, upper right lung zone, overlap clavicle"
synth_0178,c2393.mha,radedit,small,mid_left,low,heart,257,520,18,18,4200178,,high_risk_repeat,"single small pulmonary nodule, low contrast, mid left lung zone, overlap heart"
synth_0179,c2465.mha,radedit,small,mid_left,medium,spine,496,499,18,18,4200179,,high_risk_repeat,"single small pulmonary nodule, medium contrast, mid left lung zone, overlap spine"
